"date","description","withdrawal","deposit","balance"
"2024-02-21","PAYPALMSP","17.84","","53971.61"
"2024-02-21","PAYPALMSP","26.79","","53944.82"
"2024-02-21","PAYPALMSP","36.74","","53908.08"
"2024-02-21","SENDE-TFR***JHd","3000.00","","50908.08"
"2024-02-22","GoogleLLCMSP","","700.73","51608.81"
"2024-02-22","PTSTO:80746337033","50.00","","51558.81"
"2024-02-22","SSVTO:80746337033","0.50","","51558.31"
"2024-02-22","AMZNMktpCA_V","15.74","","51542.57"
"2024-02-23","SSVTO:80746337033","0.50","","51542.07"
"2024-02-23","JY044TFR-FR6337033","","7000.00","58542.07"
"2024-02-23","CRA2024INSTW6Y7J5","9218.00","","49324.07"
"2024-02-26","NETFLIX.COM_V","17.31","","49306.76"
"2024-02-26","SENDE-TFR***FDK","3000.00","","46306.76"
"2024-02-26","SENDE-TFR***rdX","3000.00","","43306.76"
"2024-02-26","RQ400TFR-TOC/C","6339.40","","36967.36"
"2024-02-26","PAYPALMSP","","1348.80","38316.16"
"2024-02-26","PAYPALMSP","","2659.47","40975.63"
"2024-02-27","SSVTO:80746337033","0.50","","40975.13"
"2024-02-27","E-TRANSFER***CRr","","3000.00","43975.13"
"2024-02-27","PAYPALMSP","105.13","","43870.00"
"2024-02-27","PAYPALMSP","115.38","","43754.62"
"2024-02-28","FXATMW/DFEE","5.00","","43749.62"
"2024-02-28","FXATMW/D_V","276.35","","43473.27"
"2024-02-28","Gopay-Goje7000.00_V","0.63","","43472.64"
"2024-02-28","Gopay-Goje7000.00_V","0.63","","43472.01"
"2024-02-29","Amazon.caPrime_V","10.49","","43461.52"
"2024-02-29","PTSTO:80746337033","10.00","","43451.52"
"2024-02-29","SSVTO:80746337033","1.50","","43450.02"
"2024-02-29","PAYPALMSP","6.29","","43443.73"
"2024-02-29","PAYPALMSP","79.78","","43363.95"
"2024-02-29","MONTHLYACCOUNTFEE","16.95","","43347.00"
"2024-02-29","ACCTBALREBATE","","16.95","43363.95"
"2024-03-01","Gopay-Go154500.00_V","13.85","","43350.10"
"2024-03-01","Gopay-Goj20000.00_V","1.79","","43348.31"
"2024-03-01","Gopay-Goj20000.00_V","1.79","","43346.52"
"2024-03-01","Gopay-Goj51000.00_V","4.57","","43341.95"
"2024-03-01","SSVTO:80746337033","0.50","","43341.45"
"2024-03-01","PAYPALMSP","10.49","","43330.96"
"2024-03-01","PAYPALMSP","13.64","","43317.32"
"2024-03-04","FXATMW/DFEE","5.00","","43312.32"
"2024-03-04","FXATMW/D_V","269.18","","43043.14"
"2024-03-04","SSVTO:80746337033","2.00","","43041.14"
"2024-03-04","STRIPEMSP","","5.87","43047.01"
"2024-03-05","Gopay-Goj49000.00_V","4.39","","43042.62"
"2024-03-05","Gopay-Goj10000.00_V","0.89","","43041.73"
"2024-03-05","E-TRANSFER***jHC","","5000.00","48041.73"
"2024-03-05","SENDE-TFR***2Db","1001.44","","47040.29"
"2024-03-05","G-Transfer**683","558.40","","46481.89"
"2024-03-05","SENDE-TFR***nQx","548.37","","45933.52"
"2024-03-05","SSVTO:80746337033","0.50","","45933.02"
"2024-03-06","Gopay-Goj36500.00_V","3.26","","45929.76"
"2024-03-06","Gopay-Goj10000.00_V","0.89","","45928.87"
"2024-03-06","SSVTO:80746337033","1.00","","45927.87"
"2024-03-06","Gopay-Goj14500.00_V","1.29","","45926.58"
"2024-03-06","Gopay-Go250500.00_V","22.44","","45904.14"
"2024-03-06","PAYPALMSP","566.00","","45338.14"
"2024-03-07","Gopay-Goj14000.00_V","1.25","","45336.89"
"2024-03-07","SENDE-TFR***sTv","654.26","","44682.63"
"2024-03-07","PTSTO:80746337033","50.00","","44632.63"
"2024-03-07","SSVTO:80746337033","2.00","","44630.63"
"2024-03-07","Gopay-Goj12500.00_V","1.12","","44629.51"
"2024-03-07","PAYPALMSP","82.94","","44546.57"
"2024-03-08","Gopay-Goj49000.00_V","4.39","","44542.18"
"2024-03-08","Gopay-Goj20000.00_V","1.79","","44540.39"
"2024-03-08","SSVTO:80746337033","1.00","","44539.39"
"2024-03-11","Gopay-G1773645.00_V","158.99","","44380.40"
"2024-03-11","Gopay-G1932700.00_V","173.24","","44207.16"
"2024-03-11","Gopay-Goj70500.00_V","6.32","","44200.84"
"2024-03-11","SSVTO:80746337033","1.00","","44199.84"
"2024-03-11","Gopay-Goj25000.00_V","2.25","","44197.59"
"2024-03-11","FREEDOMMOBILE_V","93.40","","44104.19"
"2024-03-11","Gopay-Goj70500.00_V","6.32","","44097.87"
"2024-03-12","FXATMW/DFEE","5.00","","44092.87"
"2024-03-12","FXATMW/DFEE","5.00","","44087.87"
"2024-03-12","FXATMW/D_V","134.52","","43953.35"
"2024-03-12","FXATMW/D_V","134.52","","43818.83"
"2024-03-12","SSVTO:80746337033","3.00","","43815.83"
"2024-03-12","Gopay-Go477000.00_V","42.78","","43773.05"
"2024-03-12","Gopay-Go546500.00_V","49.01","","43724.04"
"2024-03-12","Gopay-Goj82000.00_V","7.36","","43716.68"
"2024-03-13","Gopay-Go990000.00_V","88.89","","43627.79"
"2024-03-13","Gopay-Goj10000.00_V","0.90","","43626.89"
"2024-03-13","Gopay-Goj86000.00_V","7.72","","43619.17"
"2024-03-13","SSVTO:80746337033","2.50","","43616.67"
"2024-03-13","Gopay-Goj58000.00_V","5.21","","43611.46"
"2024-03-14","Gopay-Go279500.00_V","25.08","","43586.38"
"2024-03-14","Gopay-Goj53000.00_V","4.76","","43581.62"
"2024-03-14","SSVTO:80746337033","2.00","","43579.62"
"2024-03-15","SSVTO:80746337033","1.00","","43578.62"
"2024-03-18","Gopay-Go260500.00_V","23.42","","43555.20"
"2024-03-18","Gopay-Goj10000.00_V","0.90","","43554.30"
"2024-03-18","Gopay-Go240000.00_V","21.57","","43532.73"
"2024-03-18","PAYPALMSP","32.50","","43500.23"
"2024-03-18","PAYPALMSP","287.32","","43212.91"
"2024-03-19","SSVTO:80746337033","1.50","","43211.41"
"2024-03-19","PAYPALMSP","5.04","","43206.37"
"2024-03-19","PAYPALMSP","267.75","","42938.62"
"2024-03-20","Gopay-Go146000.00_V","13.10","","42925.52"
"2024-03-21","PTSTO:80746337033","50.00","","42875.52"
"2024-03-21","SSVTO:80746337033","0.50","","42875.02"
"2024-03-22","GoogleLLCMSP","","963.59","43838.61"
"2024-03-22","PAYPALMSP","31.05","","43807.56"
"2024-03-22","PAYPALMSP","63.29","","43744.27"
"2024-03-25","NETFLIX.COM_V","17.31","","43726.96"
"2024-03-25","SENDE-TFR***Y4s","1100.00","","42626.96"
"2024-03-25","UT535TFR-TOC/C","2082.30","","40544.66"
"2024-03-26","SSVTO:80746337033","0.50","","40544.16"
"2024-03-26","SENDE-TFR***cY5","200.00","","40344.16"
"2024-03-28","PTSTO:80746337033","10.00","","40334.16"
"2024-03-28","MONTHLYACCOUNTFEE","16.95","","40317.21"
"2024-03-28","ACCTBALREBATE","","16.95","40334.16"
"2024-04-01","Amazon.caPrime_V","10.49","","40323.67"
"2024-04-01","SENDE-TFR***uW5","100.00","","40223.67"
"2024-04-01","PAYPALMSP","10.49","","40213.18"
"2024-04-01","PAYPALMSP","24.64","","40188.54"
"2024-04-01","PAYPALMSP","60.65","","40127.89"
"2024-04-02","SSVTO:80746337033","0.50","","40127.39"
"2024-04-02","PAYPALMSP","13.64","","40113.75"
"2024-04-02","PAYPALMSP","26.79","","40086.96"
"2024-04-02","PAYPALMSP","26.79","","40060.17"
"2024-04-02","PAYPALMSP","27.74","","40032.43"
"2024-04-02","PAYPALMSP","52.35","","39980.08"
"2024-04-03","PAYPALMSP","48.61","","39931.47"
"2024-04-04","PTSTO:80746337033","50.00","","39881.47"
"2024-04-04","AMZNMktpCA_V","11.54","","39869.93"
"2024-04-04","PAYPALMSP","206.67","","39663.26"
"2024-04-05","SSVTO:80746337033","0.50","","39662.76"
"2024-04-05","PAYPALMSP","160.18","","39502.58"
"2024-04-08","FREEDOMMOBILE_V","88.26","","39414.32"
"2024-04-08","WPS-0408S02739","","7899.29","47313.61"
"2024-04-09","SSVTO:80746337033","0.50","","47313.11"
"2024-04-09","PAYPALMSP","1.00","","47312.11"
"2024-04-09","PAYPALMSP","4.01","","47308.10"
"2024-04-09","PAYPALMSP","26.76","","47281.34"
"2024-04-09","PAYPALMSP","27.18","","47254.16"
"2024-04-09","PAYPALMSP","29.58","","47224.58"
"2024-04-09","PAYPALMSP","82.94","","47141.64"
"2024-04-09","PAYPALMSP","90.72","","47050.92"
"2024-04-11","SENDE-TFR***AbX","3000.00","","44050.92"
"2024-04-11","PAYPALMSP","7.34","","44043.58"
"2024-04-12","E-TRANSFER***X94","","100.00","44143.58"
"2024-04-12","AMZNMktpCA_V","50.39","","44093.19"
"2024-04-12","AMZNMktpCA_V","53.52","","44039.67"
"2024-04-12","PAYPALMSP","2.00","","44037.67"
"2024-04-12","PAYPALMSP","25.68","","44011.99"
"2024-04-12","PAYPALMSP","26.51","","43985.48"
"2024-04-15","SSVTO:80746337033","1.00","","43984.48"
"2024-04-16","PAYPALMSP","1.44","","43983.04"
"2024-04-16","PAYPALMSP","17.19","","43965.85"
"2024-04-16","PAYPALMSP","21.50","","43944.35"
"2024-04-16","PAYPALMSP","48.17","","43896.18"
"2024-04-16","PAYPALMSP","57.36","","43838.82"
"2024-04-17","PAYPALMSP","14.16","","43824.66"
"2024-04-17","PAYPALMSP","18.56","","43806.10"
"2024-04-17","PAYPALMSP","28.82","","43777.28"
"2024-04-17","PAYPALMSP","30.16","","43747.12"
"2024-04-18","PTSTO:80746337033","50.00","","43697.12"
"2024-04-22","GoogleLLCMSP","","939.02","44636.14"
"2024-04-23","PAYPALMSP","186.93","","44449.21"
"2024-04-24","PAYPALMSP","5.67","","44443.54"
"2024-04-25","NETFLIX.COM_V","17.31","","44426.23"
"2024-04-25","E-TRANSFER***d7f","","20.00","44446.23"
"2024-04-25","PAYPALMSP","25.91","","44420.32"
"2024-04-25","PAYPALMSP","56.32","","44364.00"
"2024-04-26","SSVTO:80746337033","0.50","","44363.50"
"2024-04-26","PAYPALMSP","34.39","","44329.11"
"2024-04-29","AMZNMktpCA_V","88.13","","44240.98"
"2024-04-29","WPS-0429S84053","","5307.88","49548.86"
"2024-04-29","RO473TFR-TOC/C","2800.79","","46748.07"
"2024-04-29","PAYPALMSP","8581.87","","38166.20"
"2024-04-29","AMZNMktpCA_V","21.90","","38144.30"
"2024-04-29","Amazon.caPrime_V","10.49","","38133.81"
"2024-04-30","PTSTO:80746337033","10.00","","38123.81"
"2024-04-30","SSVTO:80746337033","1.50","","38122.31"
"2024-04-30","PAYPALMSP","6.29","","38116.02"
"2024-04-30","PAYPALMSP","10.49","","38105.53"
"2024-04-30","PAYPALMSP","14.16","","38091.37"
"2024-04-30","PAYPALMSP","15.18","","38076.19"
"2024-04-30","MONTHLYACCOUNTFEE","16.95","","38059.24"
"2024-04-30","ACCTBALREBATE","","16.95","38076.19"
"2024-05-01","PAYPALMSP","13.64","","38062.55"
"2024-05-01","PAYPALMSP","17.86","","38044.69"
"2024-05-02","PTSTO:80746337033","50.00","","37994.69"
"2024-05-07","PAYPALMSP","82.94","","37911.75"
"2024-05-08","FREEDOMMOBILE_V","88.15","","37823.60"
"2024-05-08","VeemPaymentMSP","","7981.86","45805.46"
"2024-05-09","SSVTO:80746337033","0.50","","45804.96"
"2024-05-09","PAYPALMSP","17.96","","45787.00"
"2024-05-09","PAYPALMSP","23.61","","45763.39"
"2024-05-09","PAYPALMSP","35.69","","45727.70"
"2024-05-10","AMZNMktpCA_V","35.90","","45691.80"
"2024-05-10","PAYPALMSP","25.88","","45665.92"
"2024-05-10","PAYPALMSP","53.54","","45612.38"
"2024-05-13","AMZNMktpCA_V","19.19","","45593.19"
"2024-05-13","SSVTO:80746337033","0.50","","45592.69"
"2024-05-13","PAYPALMSP","23.79","","45568.90"
"2024-05-13","PAYPALMSP","31.42","","45537.48"
"2024-05-13","PAYPALMSP","209.99","","45327.49"
"2024-05-14","SSVTO:80746337033","0.50","","45326.99"
"2024-05-15","PAYPALMSP","52.34","","45274.65"
"2024-05-16","PTSTO:80746337033","50.00","","45224.65"
"2024-05-16","HW-FastSpringPCMS","","1268.53","46493.18"
"2024-05-16","PAYPALMSP","32.86","","46460.32"
"2024-05-17","PAYPALMSP","1.00","","46459.32"
"2024-05-17","PAYPALMSP","14.16","","46445.16"
"2024-05-17","PAYPALMSP","17.75","","46427.41"
"2024-05-17","PAYPALMSP","29.87","","46397.54"
"2024-05-21","PAYPALMSP","3.00","","46394.54"
"2024-05-21","PAYPALMSP","9.95","","46384.59"
"2024-05-21","PAYPALMSP","13.64","","46370.95"
"2024-05-21","PAYPALMSP","18.56","","46352.39"
"2024-05-21","PAYPALMSP","39.15","","46313.24"
"2024-05-22","GoogleLLCMSP","","829.60","47142.84"
"2024-05-22","PAYPALMSP","51.18","","47091.66"
"2024-05-22","HX594TFR-TOC/C","2413.44","","44678.22"
"2024-05-23","PAYPALMSP","74.41","","44603.81"
"2024-05-24","AMZNMktpCA_V","93.54","","44510.27"
"2024-05-27","SENDE-TFR***2HX","3000.00","","41510.27"
"2024-05-27","SSVTO:80746337033","0.50","","41509.77"
"2024-05-27","NETFLIX.COM_V","17.31","","41492.46"
"2024-05-27","SENDE-TFR***q3G","1763.00","","39729.46"
"2024-05-28","SSVTO:80746337033","0.50","","39728.96"
"2024-05-29","Amazon.caPrime_V","10.49","","39718.47"
"2024-05-29","PAYPALMSP","6.29","","39712.18"
"2024-05-29","PAYPALMSP","26.79","","39685.39"
"2024-05-30","PTSTO:80746337033","50.00","","39635.39"
"2024-05-30","SSVTO:80746337033","0.50","","39634.89"
"2024-05-30","PAYPALMSP","10.48","","39624.41"
"2024-05-30","PAYPALMSP","10.49","","39613.92"
"2024-05-30","PAYPALMSP","14.16","","39599.76"
"2024-05-31","PTSTO:80746337033","10.00","","39589.76"
"2024-05-31","PAYPALMSP","13.64","","39576.12"
"2024-05-31","PAYPALMSP","14.51","","39561.61"
"2024-05-31","MONTHLYACCOUNTFEE","16.95","","39544.66"
"2024-05-31","ACCTBALREBATE","","16.95","39561.61"
"2024-06-03","AMZNMktpCA_V","13.64","","39547.97"
"2024-06-03","AMZNMktpCA_V","62.74","","39485.23"
"2024-06-03","WPS-0603S70612","","416.39","39901.62"
"2024-06-03","SENDE-TFR***CZQ","1463.00","","38438.62"
"2024-06-03","PAYPALMSP","35.77","","38402.85"
"2024-06-04","SSVTO:80746337033","1.00","","38401.85"
"2024-06-04","PAYPALMSP","2.00","","38399.85"
"2024-06-04","PAYPALMSP","25.10","","38374.75"
"2024-06-04","PAYPALMSP","33.09","","38341.66"
"2024-06-07","FREEDOMMOBILE_V","88.19","","38253.47"
"2024-06-07","PAYPALMSP","2.00","","38251.47"
"2024-06-07","PAYPALMSP","26.58","","38224.89"
"2024-06-07","PAYPALMSP","82.94","","38141.95"
"2024-06-10","SSVTO:80746337033","0.50","","38141.45"
"2024-06-13","PTSTO:80746337033","50.00","","38091.45"
"2024-06-13","IL174TFR-TOC/C","1119.40","","36972.05"
"2024-06-13","AMZNMktpCA_V","34.95","","36937.10"
"2024-06-14","SSVTO:80746337033","0.50","","36936.60"
"2024-06-14","PAYPALMSP","39.36","","36897.24"
"2024-06-17","AMZNMktpCA_V","14.20","","36883.04"
"2024-06-17","Amazon.ca_V","9.44","","36873.60"
"2024-06-18","SSVTO:80746337033","1.00","","36872.60"
"2024-06-18","PAYPALMSP","14.16","","36858.44"
"2024-06-18","PAYPALMSP","21.34","","36837.10"
"2024-06-18","PAYPALMSP","30.13","","36806.97"
"2024-06-18","PAYPALMSP","32.01","","36774.96"
"2024-06-18","PAYPALMSP","33.07","","36741.89"
"2024-06-18","PAYPALMSP","85.56","","36656.33"
"2024-06-18","PAYPALMSP","100.47","","36555.86"
"2024-06-19","Amazon.ca_V","25.88","","36529.98"
"2024-06-20","AMZNMktpCA_V","38.73","","36491.25"
"2024-06-20","SSVTO:80746337033","0.50","","36490.75"
"2024-06-21","AMZNMktpCA_V","17.84","","36472.91"
"2024-06-21","STRIPEMSP","","932.70","37405.61"
"2024-06-21","SSVTO:80746337033","0.50","","37405.11"
"2024-06-21","AMZNMktpCA_V","12.59","","37392.52"
"2024-06-21","PAYPALMSP","9.95","","37382.57"
"2024-06-21","PAYPALMSP","13.64","","37368.93"
"2024-06-24","GoogleLLCMSP","","1038.54","38407.47"
"2024-06-24","STRIPEMSP","","1873.40","40280.87"
"2024-06-24","SSVTO:80746337033","1.00","","40279.87"
"2024-06-25","STRIPEMSP","","940.70","41220.57"
"2024-06-25","NETFLIX.COM_V","17.31","","41203.26"
"2024-06-25","AMZNMktpCA_V","136.49","","41066.77"
"2024-06-25","AMZNMktpCA_V","24.14","","41042.63"
"2024-06-26","SSVTO:80746337033","1.50","","41041.13"
"2024-06-26","SENDE-TFR***qdc","280.00","","40761.13"
"2024-06-27","PTSTO:80746337033","50.00","","40711.13"
"2024-06-27","SENDE-TFR***MQ7","1875.00","","38836.13"
"2024-06-27","PAYPALMSP","3.00","","38833.13"
"2024-06-27","PAYPALMSP","11.48","","38821.65"
"2024-06-28","PTSTO:80746337033","10.00","","38811.65"
"2024-06-28","MONTHLYACCOUNTFEE","16.95","","38794.70"
"2024-06-28","ACCTBALREBATE","","16.95","38811.65"
"2024-07-02","Amazon.caPrime_V","10.49","","38801.16"
"2024-07-02","STRIPEMSP","","1865.70","40666.86"
"2024-07-02","SENDE-TFR***4HR","500.00","","40166.86"
"2024-07-02","RW313TFR-TOC/C","552.71","","39614.15"
"2024-07-02","RW322TFR-FR633","","7033792.91","7073407.06"
"2024-07-02","RW370TFR-TO633","7033100.00","","40307.06"
"2024-07-02","SENDE-TFR***gRk","300.00","","40007.06"
"2024-07-02","PAYPALMSP","6.29","","40000.77"
"2024-07-02","PAYPALMSP","10.49","","39990.28"
"2024-07-02","PAYPALMSP","13.64","","39976.64"
"2024-07-02","PAYPALMSP","24.64","","39952.00"
"2024-07-03","SSVTO:80746337033","0.50","","39951.50"
"2024-07-04","PAYPALMSP","19.94","","39931.56"
"2024-07-08","FREEDOMMOBILE_V","88.15","","39843.41"
"2024-07-09","SSVTO:80746337033","0.50","","39842.91"
"2024-07-09","PAYPALMSP","13.64","","39829.27"
"2024-07-09","PAYPALMSP","82.94","","39746.33"
"2024-07-11","PTSTO:80746337033","50.00","","39696.33"
"2024-07-16","PAYPALMSP","14.68","","39681.65"
"2024-07-16","PAYPALMSP","32.73","","39648.92"
"2024-07-17","PAYPALMSP","29.93","","39618.99"
"2024-07-22","GoogleLLCMSP","","1151.30","40770.29"
"2024-07-25","NETFLIX.COM_V","17.31","","40752.98"
"2024-07-25","PTSTO:80746337033","50.00","","40702.98"
"2024-07-26","SSVTO:80746337033","0.50","","40702.48"
"2024-07-29","Amazon.caPrime_V","10.49","","40691.99"
"2024-07-30","SSVTO:80746337033","0.50","","40691.49"
"2024-07-31","STRIPEMSP","","940.70","41632.19"
"2024-07-31","PTSTO:80746337033","10.00","","41622.19"
"2024-07-31","MONTHLYACCOUNTFEE","16.95","","41605.24"
"2024-07-31","ACCTBALREBATE","","16.95","41622.19"
"2024-08-06","RL403TFR-TOC/C","2067.19","","39555.00"
"2024-08-07","FREEDOMMOBILE_V","93.16","","39461.84"
"2024-08-07","PAYPALMSP","59.84","","39402.00"
"2024-08-07","PAYPALMSP","82.94","","39319.06"
"2024-08-08","PTSTO:80746337033","50.00","","39269.06"
"2024-08-08","SSVTO:80746337033","0.50","","39268.56"
"2024-08-08","PAYPALMSP","13.64","","39254.92"
"2024-08-15","Amazon.ca_V","209.99","","39044.93"
"2024-08-16","SSVTO:80746337033","0.50","","39044.43"
"2024-08-16","PAYPALMSP","32.94","","39011.49"
"2024-08-19","RECLAIME-TFR***2wR","","150.00","39161.49"
"2024-08-19","SENDE-TFR***Xtx","150.00","","39011.49"
"2024-08-19","CRA2024INSTH8W4L4","9218.00","","29793.49"
"2024-08-19","CRA2024INSTH8W4L6","9218.00","","20575.49"
"2024-08-19","PAYPALMSP","14.16","","20561.33"
"2024-08-19","PAYPALMSP","18.49","","20542.84"
"2024-08-19","Amazon.ca_V","146.99","","20395.85"
"2024-08-19","SENDE-TFR***2wR","150.00","","20245.85"
"2024-08-20","SSVTO:80746337033","0.50","","20245.35"
"2024-08-22","PTSTO:80746337033","50.00","","20195.35"
"2024-08-22","GoogleLLCMSP","","770.68","20966.03"
"2024-08-26","NETFLIX.COM_V","17.31","","20948.72"
"2024-08-26","SENDE-TFR***Drg","300.00","","20648.72"
"2024-08-26","SENDE-TFR***Vkc","350.00","","20298.72"
"2024-08-26","SENDE-TFR***YJw","400.00","","19898.72"
"2024-08-27","SSVTO:80746337033","0.50","","19898.22"
"2024-08-27","PAYPALMSP","35.99","","19862.23"
"2024-08-29","Amazon.caPrime_V","10.49","","19851.74"
"2024-08-29","PAYPALMSP","6.29","","19845.45"
"2024-08-30","PTSTO:80746337033","10.00","","19835.45"
"2024-08-30","SSVTO:80746337033","0.50","","19834.95"
"2024-08-30","PAYPALMSP","10.49","","19824.46"
"2024-08-30","MONTHLYACCOUNTFEE","16.95","","19807.51"
"2024-08-30","ACCTBALREBATE","","16.95","19824.46"
"2024-09-03","UW303TFR-TOC/C","2407.51","","17416.95"
"2024-09-03","AMZNMktpCA_V","78.65","","17338.30"
"2024-09-03","PAYPALMSP","13.64","","17324.66"
"2024-09-03","PAYPALMSP","19.94","","17304.72"
"2024-09-03","PAYPALMSP","32.94","","17271.78"
"2024-09-04","SSVTO:80746337033","0.50","","17271.28"
"2024-09-05","STRIPEMSP","","4.36","17275.64"
"2024-09-05","PTSTO:80746337033","50.00","","17225.64"
"2024-09-06","AMZNMktpCA_V","128.10","","17097.54"
"2024-09-06","AMZNMktpCA_V","13.61","","17083.93"
"2024-09-06","AMZNMktpCA_V","45.14","","17038.79"
"2024-09-06","AMZNMktpCA_V","9.73","","17029.06"
"2024-09-09","AMZNMktpCA_V","62.99","","16966.07"
"2024-09-09","SSVTO:80746337033","2.00","","16964.07"
"2024-09-09","AMZNMktpCA_V","13.64","","16950.43"
"2024-09-09","FREEDOMMOBILE_V","88.15","","16862.28"
"2024-09-09","PAYPALMSP","82.94","","16779.34"
"2024-09-10","SSVTO:80746337033","1.50","","16777.84"
"2024-09-10","PAYPALMSP","13.64","","16764.20"
"2024-09-11","Amazon.ca_V","26.10","","16738.10"
"2024-09-11","PAYPALMSP","19.94","","16718.16"
"2024-09-12","SSVTO:80746337033","0.50","","16717.66"
"2024-09-12","SENDE-TFR***qNb","417.00","","16300.66"
"2024-09-13","Amazon.ca_V","35.66","","16265.00"
"2024-09-16","AMAZONMKTPLACE_V","35.07","","16229.93"
"2024-09-16","SSVTO:80746337033","0.50","","16229.43"
"2024-09-16","SENDE-TFR***KUY","150.00","","16079.43"
"2024-09-17","SSVTO:80746337033","0.50","","16078.93"
"2024-09-17","PAYPALMSP","14.16","","16064.77"
"2024-09-17","PAYPALMSP","29.74","","16035.03"
"2024-09-17","PAYPALMSP","32.64","","16002.39"
"2024-09-18","REBLUMLTDMSP","","6793.90","22796.29"
"2024-09-18","PAYPALMSP","20.69","","22775.60"
"2024-09-19","PTSTO:80746337033","50.00","","22725.60"
"2024-09-23","GoogleLLCMSP","","677.00","23402.60"
"2024-09-25","NETFLIX.COM_V","17.31","","23385.29"
"2024-09-26","SSVTO:80746337033","0.50","","23384.79"
"2024-09-27","AMZNMktpCA_V","27.29","","23357.50"
"2024-09-27","PTSTO:80746337033","10.00","","23347.50"
"2024-09-27","MONTHLYACCOUNTFEE","16.95","","23330.55"
