"statement_date","transaction_date","posting_date","description","amount","currency_amount","currency_code","exchange_rate","source_file"
"2024-03-04","2024-02-07","2024-02-08","WF/CA4217942566 VANCOUVER","79.79","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-08","2024-02-09","FLOORING SUPERSTORES CALGARY","-1011.99","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-08","2024-02-09","FLOORING SUPERSTORES CALGARY","-83.00","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-12","2024-02-12","PAYMENT - THANK YOU","-10.00","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-13","2024-02-14","CASTELLA CHEESECAKE (CHIN CALGARY","5.72","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-13","2024-02-14","SQ *HULA POKE Calgary","19.05","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-14","2024-02-15","DDKINJOSUSHIGRILL DOWNTOWN TOR","43.30","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-14","2024-02-15","STAPLES STORE #253 CALGARY","0.59","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-14","2024-02-15","PAYMENT - THANK YOU","-4437.42","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-15","2024-02-15","SQUARESPACE INC. HTTPSSQUARES","29.23","21.00","USD","1.39190","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-14","2024-02-16","THE HOME DEPOT #7111 CALGARY","718.27","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-15","2024-02-16","WINSPORT/CAPTURE FROM CALGARY","152.25","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-17","2024-02-20","LULULEMONCOM* 877-263-9300","174.30","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-17","2024-02-20","SCARPONES / THE ITALIA CALGARY","5.23","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-17","2024-02-20","HUDSON'S BAY #1138 CALGARY","130.24","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-18","2024-02-20","TOYS R US ONLINE CONCORD","47.98","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-22","2024-02-23","AIRBNB * HMTFPPHKJC AIRBNB.COM","5013.24","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-23","2024-02-26","SQ *TAN ON THE RUN CALGAR CALGARY","96.60","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-23","2024-02-26","AIR CAN* 0142191008120 AIRCANADA.CO","144.11","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-25","2024-02-26","3712-CLGY RELAY D41K02 CALGARY","4.84","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-25","2024-02-27","HUDSON ST1526 RICHMOND","38.78","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-26","2024-02-27","Wise Payments Canada Inc. Ottawa","31.18","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-26","2024-02-27","SQ *MANDARIN COFFEE STAND pasadena","21.14","15.24","USD","1.38713","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-26","2024-02-27","WHOLEFDS ARR 10237 PASADENA","27.13","19.57","USD","1.38630","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-26","2024-02-27","T J MAXX #1264 PASADENA","116.14","83.77","USD","1.38641","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-26","2024-02-27","PAYMENT - THANK YOU","-6339.40","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-25","2024-02-28","AIR CAN* 0144261414166 AIRCANADA.CO","31.50","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-26","2024-02-28","DSW PASEO COLORADO PASADENA","76.40","55.11","USD","1.38631","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-27","2024-02-28","LAX RELAY LOS ANGELES","11.42","8.23","USD","1.38760","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-27","2024-02-28","LOVE BALI *000090470 DENPASAR","13.71","154500.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-27","2024-02-28","LOVE BALI *000090473 DENPASAR","13.71","154500.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-28","2024-02-29","SHADY SHACK HO BADUNG","28.03","316000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-28","2024-02-29","CHENG MENG GLOBAL LTD. TAOYUAN CITY","3.30","75.00","TWD","0.04400","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-28","2024-02-29","PRISMALINK*VOA NON 3DS JAKARTA PUSA","46.09","519500.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-28","2024-02-29","PRISMALINK*VOA NON 3DS JAKARTA PUSA","46.09","519500.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-02-29","2024-03-01","APOTEK IFARMA BADUNG KAB.","10.60","119000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-03-01","2024-03-04","PLANT BISTRO GIANYAR","15.13","170500.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-03-03","2024-03-04","LA BARUNA HO BADUNG","14.43","162400.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-03-03","2024-03-04","ROOTS HO BADUNG","42.48","478060.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-03-04","2024-03-04","CASH ADVANCE FEE","3.50","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-03-04","2024-03-04","RETAIL INTEREST","9.52","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-03-04","2024-03-04","2024-03-04","CASH INTEREST","0.02","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
"2024-04-03","2024-03-03","2024-03-05","6792 GUARD RUKO BALI PERE Badung","8.26","93000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-04","2024-03-05","WARUNG MINA BEDUGUL MBL","30.15","339250.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-04","2024-03-05","SUNNYDAY HO BADUNG","15.99","180000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-04","2024-03-05","SUNNYDAY HO BADUNG","26.57","299000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-04","2024-03-05","NALU BOWLS CANGGU Badung (Kab)","6.16","69300.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-06","2024-03-07","CK SEMAT SHORT CUT BADUNG","4.25","48000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-06","2024-03-07","LENA'S KITCHEN HO BADUNG","25.06","282975.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-07","2024-03-08","LOKOA CANGGU Badung","97.93","1104000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-07","2024-03-08","LOKOA THE LABEL Badung","89.95","1014000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-07","2024-03-08","OMA JAMU VEGAN CAF &GROCE DENPASAR","11.09","125000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-08","2024-03-11","FRESTIVE CANGGU BADUNG","16.11","181779.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-08","2024-03-11","MOWIE'S Badung (Kab)","44.85","506000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-09","2024-03-11","FRESTIVE CANGGU BADUNG","57.70","650000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-09","2024-03-11","NEIGHBOURHOOD HO BADUNG","18.63","209900.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-09","2024-03-11","COPENHAGEN BERAWA Badung (Kab)","16.40","184800.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-12","2024-03-13","NEIGHBOURHOOD HO BADUNG","43.50","489800.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-12","2024-03-13","FRESTIVE CANGGU Badung (Kab)","42.90","483000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-13","2024-03-14","LA BRISA Badung (Kab)","64.89","729800.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-14","2024-03-15","STUDIO K HO BADUNG","239.70","2697000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-14","2024-03-15","MIA BALI ULUWATU Badung","84.43","950000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-15","2024-03-18","BLOOD+BONE P-P HO BADUNG","66.68","748000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-15","2024-03-18","ALCHEMY ULUWATU Badung","89.14","1000000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-15","2024-03-18","ALCHEMY ULUWATU Badung","24.90","279257.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-15","2024-03-18","U.SPA LABUAN SAIT Badung (Kab)","6.24","70000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-16","2024-03-18","ULUWATU SURF VILLAS HO BADUNG","84.88","953450.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-16","2024-03-18","BGS BALI ULUWATU BADUNG","4.90","55000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-16","2024-03-18","PEPITO EXPRESS BADUNG KAB.","48.23","541751.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-17","2024-03-18","BGS BALI ULUWATU BADUNG","11.13","125000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-17","2024-03-18","ULU ARTISAN EATERY & COCK BADUNG","14.12","158625.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-16","2024-03-19","ULU GARDEN Badung","52.94","594660.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-17","2024-03-19","ALCHEMY ULUWATU Badung","21.70","243694.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2023-11-29","2024-03-20","PURCHASE ADJUSTMENT","-321.57","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-18","2024-03-20","GOOSEBERRY RESTAURANT HO BADUNG","35.63","400200.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-19","2024-03-20","YEMA KITCHEN MBL BADUNG - BAL","34.46","388278.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-19","2024-03-20","RISE AND SHINE HO BADUNG","16.33","184000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-20","2024-03-21","WHSMITH BADUNG","17.77","200000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-20","2024-03-21","FINE COFFEE BADUNG","12.35","139000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-20","2024-03-21","MADE'S WARUNG INTERNATION Badung (Kab)","19.28","217000.00","IDR","0.00008","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-21","2024-03-22","HUDSON ST1413 CARSON","16.77","12.02","USD","1.39517","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-22","2024-03-22","TST-Tastes on the Fly- Richmond","36.05","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-22","2024-03-25","TST* PLANTA - MARINA DEL MARINA DEL R","51.31","36.79","USD","1.39467","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-23","2024-03-25","AIR CANADA 0144263336787 WINNIPEG","32.37","23.21","USD","1.39465","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-23","2024-03-25","WESTJET 8382184816932 CALGARY","156.30","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-25","2024-03-26","PAYMENT - THANK YOU","-2082.30","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-28","2024-04-01","SEPHORA.CA SEPHORA.CA","161.18","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-29","2024-04-01","TI FRONT DESK 7028947111","292.63","209.75","USD","1.39513","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-30","2024-04-01","SQ *D&J LAVIN FOOD SERVIC Calgary","6.65","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-03-30","2024-04-01","HCM*KINJO MILLRISE K3 ST CALGARY","80.29","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-04-03","2024-04-03","CINEPLEX 3150 QP ROCKY VIEW","30.68","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-04-03","2024-04-03","2024-04-03","CASH INTEREST","0.03","","","","TD_AEROPLAN_VISA_INFINITE_9225_Apr_03-2024.pdf"
"2024-05-03","2024-04-06","2024-04-08","SEPHORA THE CORE CALGARY","114.81","","","","TD_AEROPLAN_VISA_INFINITE_9225_May_03-2024.pdf"
"2024-05-03","2024-04-06","2024-04-08","LES MOULINS LA FAYETTE CALGARY","7.61","","","","TD_AEROPLAN_VISA_INFINITE_9225_May_03-2024.pdf"
"2024-05-03","2024-04-06","2024-04-08","LES MOULINS LA FAYETTE CALGARY","22.52","","","","TD_AEROPLAN_VISA_INFINITE_9225_May_03-2024.pdf"
"2024-05-03","2024-04-06","2024-04-08","BARBARELLA BAR CALGARY","21.11","","","","TD_AEROPLAN_VISA_INFINITE_9225_May_03-2024.pdf"
"2024-05-03","2024-04-07","2024-04-08","GAP CANADA 9816 CALGARY","141.67","","","","TD_AEROPLAN_VISA_INFINITE_9225_May_03-2024.pdf"
